Date,Description,Category,Amount,Payment_Method
2024-06-01,Wonder idea least.,Groceries,25.94,Mobile Payment
2025-04-03,Community level kitchen.,Dining,14.28,Credit Card
2025-01-01,Poor first hold.,Healthcare,460.98,Credit Card
2024-09-27,Bar.,Dining,431.74,Credit Card
2024-08-20,Thus sound.,Utilities,290.0,Bank Transfer
2024-08-23,Visit include.,Education,288.83,Credit Card
2025-03-17,Person mention lose.,Utilities,356.2,Bank Transfer
2024-09-07,Political simple.,Groceries,211.76,Mobile Payment
2024-11-10,Head ask maybe.,Dining,62.01,Bank Transfer
2025-01-31,Total person improve.,Groceries,15.32,Bank Transfer
2024-12-29,Bank loss part.,Transport,165.76,Credit Card
2024-06-02,Sport always.,Dining,401.65,Credit Card
2024-05-09,Their next newspaper.,Utilities,310.97,Cash
2025-03-30,Pass.,Education,416.85,
2024-06-18,Nature mouth standard.,Utilities,460.29,Mobile Payment
,Team such us.,Groceries,48.62,Cash
2024-05-19,Direction big sometimes.,Entertainment,423.02,Cash
2024-07-06,Program majority if.,Dining,125.44,Cash
2024-12-28,Ever visit.,Healthcare,296.49,Credit Card
2025-03-16,Process lead music.,Rent,264.36,Credit Card
2024-06-03,Happen use.,Education,200.9,Credit Card
2024-12-21,Owner age.,Healthcare,158.59,Mobile Payment
2024-10-04,Customer parent training.,Healthcare,173.06,Bank Transfer
2024-05-20,Next executive natural image.,Dining,169.87,Cash
2024-10-03,Safe bank.,,88.23,Credit Card
2025-04-10,Half someone think.,Dining,257.69,Bank Transfer
2024-10-19,Today new.,Entertainment,61.44,Cash
2024-09-02,Center hand.,,257.43,Bank Transfer
2024-10-22,Despite himself.,Education,453.43,Cash
2025-01-16,Claim hour.,,177.94,Bank Transfer
2024-04-28,Some travel.,Groceries,365.05,Credit Card
2024-08-16,Smile recognize.,Healthcare,410.38,Bank Transfer
2024-08-22,Billion your.,Rent,408.44,Bank Transfer
2024-09-07,Special little billion from.,Transport,121.95,Cash
2024-04-24,Very deal.,Groceries,77.49,Bank Transfer
2025-01-17,Animal bill.,Groceries,102.65,Mobile Payment
2024-05-20,Recognize example fact.,Rent,303.19,Cash
2024-07-18,Agreement soldier room.,Rent,381.31,Bank Transfer
2025-03-07,Write respond.,Groceries,329.48,Mobile Payment
2024-05-13,Maybe south issue.,Utilities,92.69,Cash
2025-02-25,Better.,Rent,387.56,Credit Card
2024-12-23,Office street.,Utilities,249.59,Cash
2025-01-02,Something likely.,Education,378.45,Cash
2024-11-30,Analysis cover.,Transport,381.14,Bank Transfer
2024-09-20,Opportunity set report.,Rent,227.21,Mobile Payment
2025-04-13,Night red.,Education,462.46,Cash
2024-07-03,Service.,Entertainment,284.42,Cash
2024-12-07,Thus wonder eye.,Healthcare,319.47,Cash
2024-09-21,Administration someone.,Utilities,314.14,Bank Transfer
2024-12-05,Life PM thing.,Transport,432.8,Cash
2025-03-09,Chair statement husband.,Utilities,315.47,Mobile Payment
2025-02-10,Speak appear.,Entertainment,79.72,Bank Transfer
2025-02-19,Activity at.,Transport,38.8,Credit Card
2025-03-08,Least relationship off.,Groceries,223.89,Credit Card
2024-07-21,At involve current.,Entertainment,154.9,Bank Transfer
2025-02-27,Trade guess.,Dining,140.96,Mobile Payment
2024-09-26,Right perform.,Dining,32.81,Bank Transfer
2024-11-29,Around ask.,Rent,256.13,Bank Transfer
2024-11-30,,Transport,158.65,Bank Transfer
2025-04-06,Hit.,Rent,228.7,Bank Transfer
2024-05-13,Work save.,Transport,33.16,Cash
2024-07-16,Since increase bank.,Entertainment,,Credit Card
2024-09-16,Few one crime.,Transport,42.98,Mobile Payment
2025-01-11,Tough.,Groceries,432.8,Cash
2024-11-03,Party nice beat.,Healthcare,428.37,Credit Card
2024-05-12,Fast writer next.,Dining,309.43,Bank Transfer
2024-07-25,Cultural century.,Healthcare,256.0,Credit Card
2024-11-15,,Transport,234.04,Credit Card
2025-01-09,Daughter everyone what create.,Healthcare,279.39,Cash
2024-07-07,,Groceries,396.95,Cash
2024-05-17,Second especially.,Dining,448.46,Mobile Payment
2025-01-29,Article level.,Education,227.62,Bank Transfer
2025-02-15,Ten sense no.,Transport,405.86,Bank Transfer
2025-04-15,Move.,Dining,327.66,Bank Transfer
2024-10-09,Community social city of.,Healthcare,164.16,Credit Card
2024-04-27,Television environmental adult.,Education,240.44,Credit Card
2025-04-03,Number drop.,Utilities,79.68,Bank Transfer
2025-03-21,Charge understand travel.,Dining,35.63,Mobile Payment
2024-11-20,Then pay.,Utilities,56.23,Credit Card
2025-01-04,Check draw least.,Entertainment,450.07,Mobile Payment
2024-11-26,Statement reveal.,Education,175.0,Credit Card
2025-02-18,Case beat notice.,Education,358.59,Cash
2024-08-10,Show budget.,Dining,254.75,Cash
2024-12-23,Wear.,Entertainment,90.42,Bank Transfer
2025-04-12,Table everybody shoulder.,Healthcare,127.63,Cash
2024-05-12,Program prevent.,Rent,221.69,Credit Card
2024-06-27,Teach speech.,,222.51,Credit Card
2025-03-20,Production animal.,Entertainment,263.76,Cash
2024-10-29,Single.,Education,83.58,Cash
2024-05-07,Recent back.,Rent,189.56,Cash
2024-12-18,Simply serve.,Education,145.03,Bank Transfer
2024-09-06,Standard style increase.,Dining,207.34,Cash
2024-05-05,Word discuss.,Healthcare,172.49,Credit Card
2025-03-04,Buy six.,Groceries,300.95,Cash
2025-01-01,Break personal.,Education,395.67,Bank Transfer
2025-03-28,,Healthcare,325.42,Bank Transfer
2024-05-03,Him impact.,Utilities,37.63,Credit Card
2024-12-13,The white feeling.,Education,51.78,Credit Card
2024-09-15,Us nothing pressure.,Rent,340.8,Cash
2024-07-02,Opportunity parent style.,Healthcare,145.65,Credit Card
2025-01-10,Sometimes season author.,Entertainment,363.25,Mobile Payment
2024-12-10,Employee daughter magazine.,Healthcare,330.0,Credit Card
2024-12-05,Together large.,Entertainment,453.64,Mobile Payment
2025-02-26,Dream age.,Entertainment,437.27,Mobile Payment
2024-12-30,Girl center.,Groceries,170.01,Credit Card
2024-07-11,,Rent,293.46,Mobile Payment
2024-08-02,Dog no something agree.,Transport,75.01,Credit Card
2024-05-01,Attention kitchen.,Rent,178.16,Credit Card
2025-01-31,Everybody throughout wait place.,Dining,484.01,Bank Transfer
2024-08-01,Police travel turn.,Education,350.75,Mobile Payment
2024-08-08,You change social.,Rent,199.02,
2024-04-30,Meet TV.,,299.55,Cash
2025-03-11,Pretty pay.,Education,469.31,
2024-07-19,Either worry operation technology.,Education,158.24,Bank Transfer
2024-05-03,Cup fear raise.,Groceries,191.46,Bank Transfer
2024-09-19,Own time mouth.,Transport,396.87,Cash
2024-04-23,Explain whom something.,Entertainment,407.53,Mobile Payment
2024-04-26,Sure top.,Rent,336.71,Bank Transfer
2024-07-02,Realize company relate.,Dining,415.33,Mobile Payment
2024-06-20,Entire help.,Rent,370.69,Bank Transfer
2024-06-27,Vote team.,Entertainment,344.28,Bank Transfer
2024-06-16,Focus score.,Healthcare,265.56,Credit Card
2024-09-19,Public unit.,Education,324.78,Mobile Payment
2024-10-19,Opportunity throughout there.,Healthcare,214.59,Bank Transfer
2024-08-31,Campaign.,Dining,184.1,Credit Card
2025-03-27,Argue.,Healthcare,184.49,Bank Transfer
2025-02-17,Several interesting appear.,Healthcare,94.23,Credit Card
2024-08-10,Hour maybe when.,Education,111.03,Credit Card
2024-06-12,Trouble herself may.,Entertainment,474.1,Mobile Payment
2024-10-08,Congress its.,Entertainment,245.7,Credit Card
2025-04-15,Care.,Entertainment,117.14,Bank Transfer
2025-02-11,Amount north.,Rent,73.09,Cash
2024-06-13,News such various.,Transport,43.2,Bank Transfer
2024-10-28,Break short front adult.,Rent,422.99,Bank Transfer
2024-05-15,Detail across effort.,Healthcare,55.06,Credit Card
2024-10-20,May race exactly.,Transport,386.58,Bank Transfer
2024-07-31,Organization risk.,Utilities,418.38,Credit Card
2024-10-17,Scientist foot walk.,Rent,442.42,Mobile Payment
2024-06-08,Including recent nothing.,Rent,23.69,Credit Card
2024-08-02,More blue inside.,Education,171.7,Mobile Payment
2024-08-06,Continue culture across.,Entertainment,384.32,Cash
2025-04-19,Particular gas.,Entertainment,69.87,Bank Transfer
2024-06-25,Would.,Transport,191.48,Mobile Payment
2025-01-30,Several look produce.,Rent,85.31,Cash
2024-11-21,Push figure serve.,Entertainment,416.52,Credit Card
2024-06-28,Difficult quickly history.,Rent,386.69,Cash
2024-11-16,Her quickly.,Healthcare,405.48,Mobile Payment
2025-03-06,Factor education girl.,Utilities,86.94,Bank Transfer
2024-11-13,Still everybody.,Entertainment,221.65,Cash
2024-10-15,Entire believe.,Groceries,208.38,Cash
2024-07-24,Treat amount.,Utilities,339.8,Credit Card
2024-06-20,How return four.,Entertainment,122.58,Credit Card
2024-06-12,Real yes these.,Groceries,224.88,Bank Transfer
2024-06-23,Hour life job.,Groceries,146.04,Credit Card
2024-09-03,Least know short.,Entertainment,375.53,Mobile Payment
2024-05-01,Power side.,Utilities,227.22,Mobile Payment
2024-07-23,She painting.,,269.34,Cash
2024-07-17,Major newspaper.,Transport,158.19,Credit Card
2024-04-20,Together relationship region.,Groceries,405.27,Credit Card
2025-01-15,Place hard service.,Entertainment,237.16,Cash
2025-03-25,Soon nothing attorney affect.,Education,418.38,Bank Transfer
2024-11-28,Consumer win left.,Education,187.08,Credit Card
2025-03-21,Such them child.,Education,473.83,Credit Card
2024-08-15,Point share.,Healthcare,492.3,Bank Transfer
2024-11-24,Trial interview economy street.,Utilities,233.53,Credit Card
2025-01-15,Seek bank special.,Groceries,144.48,Mobile Payment
2024-12-02,Tv give design.,Entertainment,194.03,Mobile Payment
2024-06-13,Red story administration.,Education,266.09,Bank Transfer
2024-10-03,Nor give.,Transport,483.3,Bank Transfer
2024-11-16,Nor note.,Transport,409.36,Mobile Payment
2024-08-20,Cover.,Dining,401.62,Mobile Payment
2024-09-26,Hair who.,Education,73.51,Mobile Payment
2024-10-04,Road reach.,Transport,128.75,Mobile Payment
2025-04-19,Popular while officer.,Groceries,322.38,Bank Transfer
2024-07-23,Bar green kind purpose.,Utilities,437.69,Bank Transfer
2024-05-26,Five show mind.,Utilities,279.5,Cash
2024-11-18,It read.,Entertainment,55.78,Bank Transfer
2024-05-06,True ever prove.,Transport,423.72,Mobile Payment
2024-11-19,Design business.,Rent,426.33,Credit Card
2024-06-22,Sometimes product morning.,Transport,146.11,Mobile Payment
2025-02-10,Relate decide.,Dining,382.74,Mobile Payment
2024-11-02,Ability prevent.,Rent,140.03,Bank Transfer
2024-06-29,Action appear.,Dining,453.13,Cash
2025-02-21,Tough indicate office.,Education,77.94,Credit Card
2025-04-08,It during.,Education,221.55,Credit Card
2024-09-16,Stuff house religious.,Entertainment,473.47,Cash
2024-04-29,Responsibility teach.,Dining,114.91,Mobile Payment
2024-10-05,Protect citizen last.,Entertainment,228.31,
,Face they.,Groceries,178.04,Mobile Payment
2024-04-23,Ok effect box.,Transport,18.2,Credit Card
2025-02-10,Behavior traditional night cost.,Rent,31.36,Credit Card
2024-11-14,Property will.,Rent,253.49,
2025-01-24,Population amount dinner.,Entertainment,121.71,Credit Card
2025-03-29,Ten us.,Transport,497.29,Bank Transfer
2025-01-13,About rule wall.,Utilities,190.58,Credit Card
2025-03-23,Summer commercial happen east.,Rent,18.95,
2024-06-29,Group phone.,Utilities,465.76,Mobile Payment
2024-07-26,Focus position.,Transport,420.39,Mobile Payment
2024-12-31,Wonder fact.,Utilities,,Bank Transfer
2024-06-26,Good policy.,Groceries,396.73,Bank Transfer
2024-10-21,Popular reach crime.,Dining,73.11,Bank Transfer
2024-09-22,Skill ground month.,Education,147.01,Credit Card
2024-09-07,Expect prove class.,Education,415.73,Mobile Payment
2024-08-20,I because thus.,Entertainment,349.56,
2024-11-21,Again for debate.,Groceries,73.7,Credit Card
2025-04-10,Two lot pick computer.,Rent,354.24,Bank Transfer
2024-12-29,Concern debate generation yes.,Entertainment,227.06,Credit Card
2024-07-01,Never.,Entertainment,7.6,Cash
2024-09-11,Class alone.,Education,44.22,Cash
2024-11-16,Entire attention.,Transport,131.68,Cash
2024-05-15,Police notice.,Rent,418.31,Cash
2025-01-30,Red ready.,Entertainment,276.66,Cash
2025-04-02,Especially.,Rent,364.98,Bank Transfer
2025-01-27,However commercial officer.,Dining,266.25,Credit Card
2024-12-23,Traditional various word.,Transport,60.04,Credit Card
2024-08-01,Such vote radio.,Education,319.22,Cash
2024-09-21,Administration someone.,Utilities,314.14,Bank Transfer
2024-11-13,Itself wife scientist.,Transport,473.26,Cash
2024-07-03,Service.,Entertainment,284.42,Cash
2024-12-31,Without.,,472.98,Bank Transfer
2024-12-29,Glass news.,Dining,58.57,Mobile Payment
2024-11-19,Cut wind.,Rent,31.04,Mobile Payment
2025-04-13,Attention rate single.,Utilities,430.77,Mobile Payment
2024-06-13,Red story administration.,Education,266.09,Bank Transfer
2024-07-25,Cultural century.,Healthcare,256.0,Credit Card
